bid_price_1,bid_size_1,ask_price_1,ask_size_1,bid_price_2,bid_size_2,ask_price_2,ask_size_2,bid_price_3,bid_size_3,ask_price_3,ask_size_3,bid_price_4,bid_size_4,ask_price_4,ask_size_4,bid_price_5,bid_size_5,ask_price_5,ask_size_5,bid_price_6,bid_size_6,ask_price_6,ask_size_6,bid_price_7,bid_size_7,ask_price_7,ask_size_7,bid_price_8,bid_size_8,ask_price_8,ask_size_8,bid_price_9,bid_size_9,ask_price_9,ask_size_9,bid_price_10,bid_size_10,ask_price_10,ask_size_10,time
64626.69,5.18738,64626.7,0.8068,64626.68,0.00034,64626.71,0.00082,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00418,64628.0,0.02636,1785948795.814
64626.69,7.50585,64626.7,0.8068,64626.68,0.00034,64626.71,0.00082,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00418,64628.0,0.02636,1785948795.914
64626.69,7.50508,64626.7,0.8068,64626.68,0.00034,64626.71,0.00082,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00018,64628.0,0.02636,1785948796.014
64626.69,7.50508,64626.7,0.80688,64626.68,0.00034,64626.71,0.0009,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00018,64628.0,0.02636,1785948796.114
64626.69,7.5105,64626.7,0.80705,64626.68,0.00034,64626.71,0.0009,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00018,64628.0,0.02636,1785948796.214
64626.69,7.5105,64626.7,1.24848,64626.68,0.00034,64626.71,0.0009,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00018,64628.0,0.02636,1785948796.314
64626.69,7.5105,64626.7,1.24848,64626.68,0.00034,64626.71,0.0009,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00018,64628.0,0.02636,1785948796.414
64626.69,7.5105,64626.7,1.25098,64626.68,0.00034,64626.71,0.0009,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00018,64628.0,0.02636,1785948796.514
64626.69,7.5105,64626.7,1.19126,64626.68,0.00034,64626.71,0.0009,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00018,64628.0,0.02636,1785948796.614
64626.69,7.51154,64626.7,1.19143,64626.68,0.0009,64626.71,0.0009,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00018,64628.0,0.02636,1785948796.714
64626.69,7.50868,64626.7,0.75161,64626.68,0.00058,64626.71,0.0009,64626.67,0.00016,64626.77,0.00491,64626.66,0.004,64626.93,8e-05,64626.01,0.00018,64626.94,8e-05,64626.0,0.11418,64627.08,8e-05,64625.87,8e-05,64627.23,8e-05,64625.46,0.00436,64627.42,8e-05,64625.04,0.004,64627.99,0.00018,64624.24,0.00018,64628.0,0.02636,1785948796.814
